Município;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total;Equipes_Dez_2024;Total_Equipes
210410 FORTALEZA DOS NOGUEIRAS;1.0;6.0;;;;1.0;;;;1.0;;;;3.0;2.0;;;;1.0;;;;;;;;;;;;;;;;;;15.0;12.0;12.0
210420 FORTUNA;2.0;8.0;;1.0;;;;;;;;;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;14.0;19.0;19.0
210430 GODOFREDO VIANA;;5.0;1.0;;;;;;;;;;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;9.0;11.0;11.0
210440 GONCALVES DIAS;;9.0;;1.0;;;;;;;1.0;;;1.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;15.0;19.0;19.0
210450 GOVERNADOR ARCHER;6.0;5.0;;1.0;;;;;;;;;1.0;;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;;;16.0;11.0;11.0
210455 GOVERNADOR EDISON LOBAO;;8.0;;1.0;;;;;1.0;1.0;;;;2.0;3.0;;;;1.0;;;;;;2.0;;;;;;;;;;1.0;;20.0;19.0;19.0
210460 GOVERNADOR EUGENIO BARROS;1.0;8.0;;1.0;;;;;;;;;;1.0;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;1.0;;16.0;19.0;19.0
210462 GOVERNADOR LUIZ ROCHA;;4.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;7.0;9.0;9.0
210465 GOVERNADOR NEWTON BELLO;;6.0;;1.0;;;;;;;;1.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;10.0;11.0;11.0
210467 GOVERNADOR NUNES FREIRE;1.0;13.0;;1.0;;;;;1.0;;1.0;;;;1.0;;;;1.0;1.0;1.0;;;;;;;;;;;;;;1.0;;22.0;27.0;27.0
210470 GRACA ARANHA;3.0;3.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;;;10.0;7.0;7.0
210480 GRAJAU;1.0;22.0;;3.0;1.0;;;;1.0;13.0;;1.0;4.0;1.0;2.0;;;;1.0;;1.0;;5.0;1.0;1.0;;;;;;1.0;;;;;;59.0;49.0;49.0
210490 GUIMARAES;10.0;8.0;;1.0;;;;;;;;;;;2.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;23.0;14.0;14.0
210500 HUMBERTO DE CAMPOS;4.0;16.0;;1.0;;;;;;2.0;1.0;1.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;27.0;30.0;30.0
210510 ICATU;;14.0;;1.0;;;;;;;;1.0;;1.0;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;1.0;;;22.0;25.0;25.0
210515 IGARAPE DO MEIO;5.0;9.0;;1.0;;;;;;1.0;1.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;19.0;12.0;12.0
210520 IGARAPE GRANDE;;5.0;;;;1.0;;;1.0;3.0;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;1.0;;13.0;13.0;13.0
210530 IMPERATRIZ;5.0;38.0;7.0;9.0;1.0;;;;100.0;225.0;82.0;1.0;11.0;17.0;7.0;68.0;;1.0;2.0;1.0;3.0;1.0;1.0;2.0;5.0;;1.0;2.0;;;1.0;2.0;;1.0;2.0;4.0;600.0;116.0;116.0
210535 ITAIPAVA DO GRAJAU;;10.0;;1.0;;;;;;;;1.0;;;;;;;1.0;;1.0;;1.0;;;;;;;;;;;;1.0;;16.0;19.0;19.0
210540 ITAPECURU MIRIM;3.0;21.0;;1.0;;;;;2.0;11.0;8.0;;;2.0;1.0;;;;1.0;1.0;;;;;;;;;;;;1.0;;;2.0;;54.0;47.0;47.0
210542 ITINGA DO MARANHAO;;9.0;;1.0;;;;;;;1.0;;1.0;1.0;2.0;;;;1.0;1.0;1.0;;;;1.0;;;;;;;;;;;;19.0;22.0;22.0
210545 JATOBA;2.0;5.0;;1.0;;;;;;1.0;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;11.0;11.0;11.0
210547 JENIPAPO DOS VIEIRAS;;14.0;;1.0;;;;;;;1.0;1.0;;;;;;;1.0;;1.0;;8.0;;1.0;;;;;;;;;;1.0;;29.0;18.0;18.0
210550 JOAO LISBOA;;9.0;;2.0;;;;;;13.0;1.0;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;28.0;25.0;25.0
210560 JOSELANDIA;2.0;11.0;;1.0;;;;;1.0;;;;;1.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;19.0;16.0;16.0
210565 JUNCO DO MARANHAO;2.0;3.0;;1.0;;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;1.0;;9.0;7.0;7.0
210570 LAGO DA PEDRA;;18.0;;4.0;;;;;;13.0;;;;1.0;1.0;;;;1.0;1.0;1.0;;;;5.0;;1.0;;;;;;;;;;46.0;58.0;58.0
210580 LAGO DO JUNCO;2.0;5.0;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;9.0;12.0;12.0
210590 LAGO VERDE;9.0;1.0;;1.0;;;;;;;;;;;3.0;;;;1.0;;;;;;;;;;;;;;;;;;15.0;15.0;15.0
210592 LAGOA DO MATO;1.0;5.0;;;;2.0;;;;1.0;;;;1.0;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;;;13.0;13.0;13.0
210594 LAGO DOS RODRIGUES;;6.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;9.0;7.0;7.0
210596 LAGOA GRANDE DO MARANHAO;;5.0;;1.0;;;;;1.0;;;;;;;;;;1.0;;;;;;2.0;;;;;;;;;;;;10.0;13.0;13.0
210598 LAJEADO NOVO;;5.0;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;1.0;;8.0;7.0;7.0
210600 LIMA CAMPOS;8.0;6.0;;1.0;;;;;;3.0;;;1.0;;1.0;;;;1.0;;1.0;;;;;;;;;;1.0;;;;;;23.0;13.0;13.0
210610 LORETO;;7.0;1.0;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;11.0;13.0;13.0
210620 LUIS DOMINGUES;3.0;1.0;;;;1.0;;;;;;;;;1.0;;;;1.0;;;1.0;;;;;;;;;;;;;;;8.0;9.0;9.0
210630 MAGALHAES DE ALMEIDA;;7.0;;1.0;;;;;;1.0;;;;1.0;;;;;1.0;;;;;;1.0;;;;;;;;;;;;12.0;15.0;15.0
210632 MARACACUME;;9.0;;1.0;;;;;2.0;2.0;1.0;;;;1.0;;;;1.0;;1.0;1.0;;;;;;;;;;;;;;;19.0;21.0;21.0
210635 MARAJA DO SENA;1.0;4.0;;;;;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;8.0;9.0;9.0
210637 MARANHAOZINHO;;5.0;;1.0;;;;;;2.0;;;;;;;;;1.0;;;1.0;1.0;;;;;;;;;;;;;;11.0;18.0;18.0
210640 MATA ROMA;8.0;8.0;1.0;1.0;;;;;1.0;3.0;1.0;;;;;;;;1.0;;;1.0;;;2.0;;;;;;;;;;1.0;;28.0;20.0;20.0
210650 MATINHA;;12.0;;1.0;;;;;;1.0;1.0;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;18.0;21.0;21.0
210660 MATOES;3.0;8.0;1.0;1.0;;;;;1.0;3.0;1.0;;1.0;;2.0;;;;1.0;;1.0;1.0;;;1.0;;;1.0;;;1.0;;;;1.0;;28.0;37.0;37.0
210663 MATOES DO NORTE;1.0;6.0;1.0;;;;;;;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;11.0;15.0;15.0
210667 MILAGRES DO MARANHAO;;5.0;;;;1.0;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;8.0;10.0;10.0
210670 MIRADOR;;11.0;;1.0;;1.0;;;;;;;;1.0;1.0;1.0;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;19.0;26.0;26.0
210675 MIRANDA DO NORTE;;9.0;;1.0;;;;;1.0;1.0;;;;1.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;16.0;23.0;23.0
210680 MIRINZAL;;7.0;;1.0;;;;;;;2.0;;;;1.0;;;;1.0;;1.0;;;;;;;;;;1.0;;;;;;14.0;18.0;18.0
210690 MONCAO;4.0;10.0;;1.0;;1.0;;;;1.0;1.0;1.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;21.0;30.0;30.0
210700 MONTES ALTOS;;4.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;8.0;12.0;12.0
210710 MORROS;;11.0;;2.0;;;;;;;1.0;1.0;;;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;1.0;;19.0;18.0;18.0
210720 NINA RODRIGUES;;7.0;;1.0;;;;;;;1.0;;;1.0;2.0;;;;1.0;;;;;;1.0;;;;;;;;;;;;14.0;16.0;16.0
210725 NOVA COLINAS;3.0;1.0;;1.0;;;;;;;2.0;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;9.0;6.0;6.0
210730 NOVA IORQUE;;2.0;;;;1.0;;;;;;;;1.0;;;;;1.0;;;;;;1.0;;;;;;;;;;;;6.0;5.0;5.0
210735 NOVA OLINDA DO MARANHAO;;7.0;;1.0;;;;;;1.0;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;11.0;19.0;19.0
210740 OLHO D'AGUA DAS CUNHAS;;10.0;;1.0;;;;;;1.0;;;1.0;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;15.0;20.0;20.0
210745 OLINDA NOVA DO MARANHAO;5.0;7.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;1.0;;18.0;13.0;13.0
210750 PACO DO LUMIAR;;18.0;;;1.0;;;1.0;4.0;17.0;5.0;;2.0;2.0;4.0;;;;1.0;1.0;1.0;;;1.0;2.0;;;;;;;;;;;;60.0;38.0;38.0
210760 PALMEIRANDIA;6.0;12.0;;1.0;;;;;1.0;;1.0;1.0;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;25.0;21.0;21.0
210770 PARAIBANO;5.0;10.0;;1.0;;;;;;;2.0;1.0;;1.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;23.0;25.0;25.0
210780 PARNARAMA;;13.0;1.0;1.0;;;;;;5.0;;1.0;1.0;1.0;;;;;1.0;;1.0;;;;;;;;;;;;;;;1.0;26.0;29.0;29.0
210790 PASSAGEM FRANCA;;9.0;;2.0;;;;;;2.0;3.0;1.0;;1.0;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;22.0;18.0;18.0
210800 PASTOS BONS;1.0;14.0;;1.0;;1.0;;;;3.0;3.0;;2.0;1.0;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;30.0;24.0;24.0
210805 PAULINO NEVES;;8.0;;1.0;;;;;;;;1.0;;;;;;;1.0;;;;;;1.0;;;;;;;;;;1.0;;13.0;17.0;17.0
210810 PAULO RAMOS;;9.0;;1.0;;;;;;2.0;;;;1.0;;;;;1.0;;;;;;1.0;;;;;;;;;;;;15.0;21.0;21.0
210820 PEDREIRAS;4.0;11.0;1.0;4.0;;;;;3.0;25.0;;;;;1.0;;;;1.0;1.0;2.0;;;;;;;;;;1.0;;;;4.0;1.0;59.0;46.0;46.0
210825 PEDRO DO ROSARIO;;9.0;;1.0;;;;;;;;1.0;;;1.0;;;;1.0;;1.0;1.0;;;1.0;;;;;;;;;;;;16.0;22.0;22.0
210830 PENALVA;2.0;15.0;;1.0;;1.0;;;;3.0;;;;;2.0;;;;1.0;;1.0;;;;2.0;;;;;;2.0;;;;;;30.0;32.0;32.0
210840 PERI MIRIM;2.0;5.0;;1.0;;;;;;;;1.0;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;12.0;13.0;13.0
210845 PERITORO;;7.0;;1.0;;;;;;2.0;;1.0;1.0;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;15.0;25.0;25.0
210850 PINDARE-MIRIM;4.0;14.0;;1.0;;;;;;;1.0;;;1.0;2.0;;;;1.0;;;1.0;;;;;;;;;;;;;1.0;;26.0;30.0;30.0
210860 PINHEIRO;;31.0;;2.0;2.0;;;;3.0;20.0;10.0;;3.0;4.0;2.0;;;;1.0;1.0;1.0;;;;3.0;;1.0;;;;;;;;3.0;;87.0;55.0;55.0
210870 PIO XII;4.0;8.0;;1.0;;;;;;2.0;;;;;2.0;;;;1.0;;;;;;;;;;;;;;;;;;18.0;23.0;23.0
210880 PIRAPEMAS;;11.0;;1.0;;;;;;;1.0;;;1.0;1.0;;;;1.0;;;;;;1.0;;;;;;;;;;1.0;;18.0;17.0;17.0
210890 POCAO DE PEDRAS;;8.0;;1.0;;;;;;2.0;2.0;;;1.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;17.0;16.0;16.0
210900 PORTO FRANCO;1.0;8.0;;1.0;;;;;2.0;4.0;3.0;;5.0;;1.0;;;;1.0;;1.0;;;;;;1.0;;;;;;;;;;28.0;23.0;23.0
210905 PORTO RICO DO MARANHAO;;3.0;;;;1.0;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;6.0;7.0;7.0
210910 PRESIDENTE DUTRA;;15.0;1.0;2.0;;;;;7.0;21.0;7.0;;2.0;4.0;2.0;;;;1.0;1.0;1.0;1.0;;;;;;;;;1.0;;;;2.0;;68.0;52.0;52.0
210920 PRESIDENTE JUSCELINO;;4.0;;1.0;;;;;;;;;1.0;;1.0;;;;1.0;;;;;;1.0;;;;;;1.0;;;;;;10.0;13.0;13.0
210923 PRESIDENTE MEDICI;4.0;2.0;;1.0;;;;;;;;;;;;;;;1.0;;;1.0;;;1.0;;;;;;;;;;;;10.0;8.0;8.0
210927 PRESIDENTE SARNEY;1.0;17.0;;1.0;;;;;;;;1.0;;;2.0;;;;1.0;;;;;;;;;;;;;;;;;;23.0;20.0;20.0
210930 PRESIDENTE VARGAS;;4.0;;;;1.0;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;7.0;13.0;13.0
210940 PRIMEIRA CRUZ;;8.0;;1.0;;;;;;;;1.0;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;1.0;;14.0;17.0;17.0
210945 RAPOSA;;6.0;;1.0;1.0;;;;;1.0;1.0;;;;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;14.0;24.0;24.0
210950 RIACHAO;2.0;5.0;;1.0;;;;;;3.0;1.0;;;;;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;15.0;19.0;19.0
210955 RIBAMAR FIQUENE;;4.0;;1.0;;;;;;;;;;1.0;3.0;;;;1.0;;;1.0;;;;;;;;;;;;;1.0;;12.0;9.0;9.0
210960 ROSARIO;;13.0;;2.0;;;;;;3.0;1.0;;2.0;1.0;1.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;2.0;;28.0;43.0;43.0
210970 SAMBAIBA;1.0;4.0;;;;1.0;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;8.0;9.0;9.0
210975 SANTA FILOMENA DO MARANHAO;;3.0;;;;1.0;;;;;;1.0;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;8.0;8.0;8.0
210980 SANTA HELENA;1.0;11.0;;1.0;;;;;;4.0;2.0;;;;2.0;;;;1.0;;1.0;;;;;;;;1.0;;;;;;;;24.0;31.0;31.0
210990 SANTA INES;2.0;22.0;4.0;3.0;;;;;4.0;37.0;11.0;;;6.0;1.0;;;;1.0;1.0;1.0;;;;1.0;;;;;;;;;;1.0;1.0;96.0;80.0;80.0
211000 SANTA LUZIA;1.0;25.0;;1.0;;;;;1.0;3.0;;1.0;;1.0;1.0;;;;1.0;1.0;;;;;;;;;;;;;;;;;36.0;50.0;50.0
211003 SANTA LUZIA DO PARUA;;9.0;;1.0;;1.0;;;;;1.0;;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;15.0;23.0;23.0
211010 SANTA QUITERIA DO MARANHAO;;13.0;;1.0;;;;;;;1.0;;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;1.0;;19.0;28.0;28.0
211020 SANTA RITA;5.0;21.0;3.0;1.0;;;;;;;;;2.0;1.0;;;;;1.0;;1.0;;;;3.0;;;;;;;1.0;;2.0;1.0;1.0;43.0;37.0;37.0
211023 SANTANA DO MARANHAO;;5.0;;1.0;;;;;;;;1.0;;1.0;;;;;1.0;;;;;;;;;;;;;;;;1.0;;10.0;13.0;13.0
211027 SANTO AMARO DO MARANHAO;1.0;9.0;;1.0;;;;;;;;1.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;14.0;17.0;17.0
211030 SANTO ANTONIO DOS LOPES;;8.0;;1.0;;;;;;4.0;;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;1.0;;17.0;15.0;15.0
211040 SAO BENEDITO DO RIO PRETO;;10.0;;1.0;;;;;;2.0;1.0;;;1.0;2.0;;;;1.0;;1.0;1.0;;;2.0;;;;;;;;;;;;22.0;20.0;20.0
211050 SAO BENTO;2.0;20.0;1.0;1.0;;;;;;;4.0;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;31.0;30.0;30.0
211060 SAO BERNARDO;3.0;13.0;;1.0;;;;;;1.0;2.0;;;;2.0;;;;1.0;;;;;;1.0;;;;;;;;;;2.0;;26.0;26.0;26.0
211065 SAO DOMINGOS DO AZEITAO;;5.0;;1.0;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;8.0;10.0;10.0
211070 SAO DOMINGOS DO MARANHAO;;19.0;2.0;1.0;;;;;;5.0;2.0;;1.0;1.0;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;1.0;;35.0;39.0;39.0
211080 SAO FELIX DE BALSAS;;3.0;;;;1.0;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;6.0;7.0;7.0
211085 SAO FRANCISCO DO BREJAO;3.0;4.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;10.0;7.0;7.0
211090 SAO FRANCISCO DO MARANHAO;;12.0;;1.0;;;;;;1.0;1.0;1.0;2.0;1.0;1.0;;;;1.0;;;;;;;1.0;;;;;;;;;;1.0;23.0;14.0;14.0
211100 SAO JOAO BATISTA;1.0;8.0;;1.0;;;;;;;;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;;;;1.0;;14.0;16.0;16.0
211102 SAO JOAO DO CARU;5.0;;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;9.0;16.0;16.0
211105 SAO JOAO DO PARAISO;;5.0;;1.0;;;;;;;2.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;10.0;12.0;12.0
211107 SAO JOAO DO SOTER;2.0;8.0;;1.0;;;;;;3.0;1.0;1.0;1.0;1.0;3.0;;;;1.0;;1.0;;;;1.0;;;;;;;;;;1.0;;25.0;21.0;21.0
211110 SAO JOAO DOS PATOS;;10.0;;1.0;;;;;1.0;7.0;3.0;;1.0;1.0;1.0;;;;1.0;1.0;1.0;;;1.0;;;;;;;;;;;1.0;;30.0;25.0;25.0
211120 SAO JOSE DE RIBAMAR;1.0;37.0;3.0;1.0;2.0;;;1.0;8.0;20.0;6.0;;3.0;5.0;2.0;1.0;;;1.0;;1.0;1.0;;1.0;2.0;;;2.0;;;1.0;1.0;;1.0;1.0;;102.0;114.0;114.0
211125 SAO JOSE DOS BASILIOS;3.0;4.0;;1.0;;;;;;;;;;1.0;1.0;;;;1.0;;;1.0;;;;;;;;;;;;;;;12.0;9.0;9.0
211130 SAO LUIS;;66.0;128.0;28.0;17.0;3.0;2.0;2.0;369.0;750.0;271.0;3.0;18.0;107.0;6.0;12.0;1.0;6.0;2.0;5.0;5.0;;2.0;7.0;1.0;3.0;1.0;22.0;;;2.0;6.0;1.0;1.0;6.0;5.0;1858.0;289.0;289.0
