Ano/mês compet.;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRAL DE REGULACAO DE SERVICOS DE SAUDE;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total
2009/Fev;10280;9620;600;1890;380;700;60;30;4070;3090;2370;100;120;130;990;140;10;130;5.0;2.0;7.0;;63.0;8.0;;;;;;;;;;;;;;;35560
2009/Mar;10330;9620;600;1870;390;710;60;30;4070;3120;2390;100;120;130;990;140;10;130;5.0;2.0;7.0;;63.0;8.0;;;;;;;;;;;;;;;35660
2009/Abr;10440;9610;600;1900;390;710;60;30;4080;3140;2430;100;120;130;980;140;10;130;5.0;2.0;7.0;;64.0;8.0;;;;;;;;;;;;;;;35860
2009/Mai;10490;9580;600;1900;390;700;70;30;4070;3180;2420;100;130;130;980;140;10;130;5.0;2.0;7.0;;66.0;8.0;;;;;;;;;;;;;;;35930
2009/Jun;10370;9700;610;1900;390;700;70;30;4080;3190;2440;110;130;130;980;140;10;130;5.0;2.0;7.0;;66.0;10.0;;;;;;;;;;;;;;;36010
2009/Jul;10260;9790;620;1890;390;700;70;30;4120;3230;2460;120;130;130;980;140;10;130;5.0;2.0;7.0;;66.0;14.0;;;;;;;;;;;;;;;36140
2009/Ago;10410;9860;620;1890;380;700;80;30;4170;3290;2480;110;130;130;980;140;10;130;5.0;2.0;7.0;;67.0;15.0;;;;;;;;;;;;;;;36500
2009/Set;10380;9910;630;1900;380;700;70;30;4190;3320;2480;110;130;130;980;140;10;130;8.0;2.0;11.0;;67.0;15.0;;;;;;;;;;;;;;;36650
2009/Out;10130;10150;630;1900;390;690;60;30;4180;3360;2470;110;130;130;950;140;10;130;8.0;2.0;16.0;;67.0;15.0;;;;;;;;;;;;;;;36670
2009/Nov;10040;10090;630;1900;390;680;60;30;4250;3350;2460;110;120;130;930;140;10;130;8.0;2.0;19.0;;65.0;18.0;;;;;;;;;;;;;;;36570
2009/Dez;10120;10260;630;1910;390;680;60;30;4270;3430;2500;110;130;130;980;140;10;130;8.0;2.0;23.0;;66.0;16.0;;;;;;;;;;;;;;;37060
2010/Jan;10370;10340;650;1910;390;700;60;30;4310;3620;2540;130;130;130;1100;140;10;130;8.0;2.0;25.0;;66.0;16.0;;;;;;;;;;;;;;;37860
2010/Fev;10050;10320;650;1910;380;710;70;30;4320;3490;2500;110;130;130;1120;130;10;110;7.0;2.0;27.0;;65.0;15.0;;;;;;;;;;;;;;;37330
2010/Mar;10030;10370;650;1890;380;710;70;30;4350;3510;2490;100;130;130;1160;130;10;110;7.0;2.0;28.0;;66.0;16.0;;;;;;;;;;;;;;;37440
2010/Abr;9960;10430;650;1880;380;720;70;30;4270;3560;2530;100;130;130;1160;130;10;110;7.0;2.0;32.0;;66.0;16.0;;;;;;;;;;;;;;;37480
2010/Mai;9960;10490;650;1870;380;700;70;30;4300;3670;2540;100;130;140;1220;130;10;110;7.0;2.0;37.0;;65.0;17.0;;;;;;;;;;;;;;;37780
2010/Jun;9960;10520;650;1870;390;690;70;30;4340;3690;2550;100;130;140;1250;130;10;110;7.0;2.0;39.0;;65.0;17.0;;;;;;;;;;;;;;;37930
2010/Jul;9940;10540;660;1890;390;690;70;40;4340;3750;2620;110;130;140;1270;130;10;110;7.0;2.0;43.0;;67.0;17.0;;;;;;;;;;;;;;;38190
2010/Ago;9900;10590;660;1890;390;680;70;30;4350;3830;2650;110;130;140;1300;130;10;110;7.0;2.0;49.0;;67.0;17.0;;;;;;;;;;;;;;;38390
2010/Set;9960;10650;660;1900;390;680;70;30;4380;3830;2700;110;130;160;1310;130;10;100;7.0;2.0;51.0;;67.0;20.0;;;;;;;;;;;;;;;38670
2010/Out;9930;10680;670;1900;400;680;70;30;4430;3860;2710;110;130;160;1310;130;10;90;7.0;2.0;53.0;;67.0;18.0;;;;;;;;;;;;;;;38770
2010/Nov;9930;10700;670;1880;390;680;70;30;4470;3940;2690;110;130;160;1310;130;10;80;7.0;2.0;56.0;;67.0;18.0;;;;;;;;;;;;;;;38880
