Ano/mês compet.;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CONSULTORIO ISOLADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);UNIDADE MOVEL TERRESTRE;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRAL DE REGULACAO DE SERVICOS DE SAUDE;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRO DE ATENCAO PSICOSSOCIAL;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;PRONTO ATENDIMENTO;POLO ACADEMIA DA SAUDE;TELESSAUDE;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRAL DE ABASTECIMENTO;CENTRO DE IMUNIZACAO;Total
2016/Mai;6010;16620;1070;2160;300;500;20;50;5400;5680;4320;140;1280;420;1790;20;10;60;3.0;;192.0;1.0;90.0;49.0;33.0;14.0;45.0;4.0;10.0;5.0;1.0;;7.0;8.0;4.0;;;;50510
2016/Jun;5860;16720;1070;2160;300;500;20;50;5420;5710;4320;140;1280;420;1800;20;10;60;3.0;;192.0;1.0;90.0;49.0;33.0;15.0;48.0;4.0;10.0;5.0;1.0;;7.0;8.0;3.0;;;;50550
2016/Jul;5810;16810;1090;2150;300;510;20;50;5420;5830;4320;140;1290;420;1810;20;20;60;3.0;;192.0;1.0;90.0;49.0;33.0;16.0;48.0;4.0;10.0;5.0;1.0;;7.0;8.0;2.0;;;;50760
2016/Ago;5760;16850;1090;2170;300;510;20;50;5430;5860;4340;140;1290;420;1830;20;20;60;3.0;;191.0;1.0;90.0;49.0;33.0;16.0;49.0;4.0;11.0;6.0;1.0;;7.0;8.0;1.0;;;;50860
2016/Set;5780;16850;1110;2160;300;510;20;60;5450;5950;4350;140;1310;420;1830;20;20;60;3.0;;191.0;1.0;89.0;49.0;33.0;16.0;50.0;4.0;11.0;7.0;1.0;;7.0;8.0;1.0;;;;51050
2016/Out;5750;16890;1120;2160;300;500;20;60;5490;5960;4360;140;1310;420;1820;20;20;60;3.0;;193.0;1.0;90.0;50.0;33.0;17.0;51.0;4.0;11.0;7.0;1.0;;7.0;8.0;1.0;;;;51170
2016/Nov;5740;16900;1130;2180;300;490;20;60;5500;6020;4360;150;1310;420;1830;20;20;60;3.0;;193.0;1.0;90.0;49.0;33.0;16.0;51.0;4.0;11.0;7.0;;;7.0;8.0;1.0;3.0;;;51280
2016/Dez;5720;16940;1140;2190;300;480;20;60;5490;6070;4240;150;1290;430;1840;20;20;60;3.0;;193.0;1.0;90.0;49.0;33.0;16.0;51.0;4.0;11.0;7.0;;;7.0;8.0;1.0;4.0;;;51240
2017/Jan;5700;17040;1140;2190;300;480;30;60;5530;6150;4250;160;1310;430;1850;20;20;60;3.0;;198.0;1.0;90.0;49.0;33.0;16.0;52.0;4.0;11.0;7.0;;;7.0;8.0;1.0;4.0;;;51560
2017/Fev;5560;16990;1150;2200;310;480;30;60;5520;6210;4270;170;1310;440;1850;20;20;60;3.0;;201.0;1.0;91.0;49.0;34.0;16.0;51.0;4.0;11.0;7.0;;;7.0;8.0;1.0;5.0;;;51540
2017/Mar;5560;16990;1150;2210;310;480;30;70;5490;6360;4290;170;1340;450;1840;20;20;60;3.0;;205.0;1.0;91.0;49.0;34.0;16.0;52.0;4.0;11.0;8.0;;;7.0;9.0;1.0;5.0;;;51800
2017/Abr;5490;17060;1160;2230;310;480;30;60;5490;6460;4320;210;1340;470;1880;20;20;60;1.0;;206.0;1.0;92.0;49.0;38.0;16.0;53.0;4.0;11.0;8.0;;;8.0;12.0;1.0;6.0;;;52150
2017/Mai;5310;17220;1170;2250;310;460;30;70;5510;6550;4360;260;1320;480;1900;20;20;60;1.0;;206.0;1.0;91.0;48.0;38.0;16.0;54.0;4.0;11.0;8.0;;;8.0;12.0;1.0;6.0;;;52350
2017/Jun;5300;17180;1200;2240;310;470;30;70;5540;6600;4370;270;1330;500;1940;20;20;60;;;208.0;2.0;92.0;46.0;38.0;16.0;54.0;4.0;11.0;8.0;;;8.0;12.0;1.0;6.0;;;52510
2017/Jul;5270;17230;1200;2230;320;480;30;60;5530;6800;4380;290;1330;490;1970;20;20;60;;;208.0;2.0;93.0;49.0;44.0;16.0;57.0;4.0;11.0;8.0;;;9.0;12.0;1.0;6.0;;;52910
2017/Ago;5260;17250;1220;2230;320;480;30;60;5560;6890;4400;310;1330;480;1980;20;20;60;;;210.0;2.0;93.0;49.0;44.0;16.0;58.0;3.0;10.0;8.0;;;9.0;12.0;1.0;6.0;;;53110
2017/Set;5220;17320;1230;2210;320;490;30;60;5550;6990;4420;340;1330;490;1990;20;20;60;;;211.0;2.0;96.0;49.0;44.0;16.0;59.0;3.0;10.0;8.0;;;9.0;12.0;1.0;6.0;;;53350
2017/Out;5090;17460;1260;2210;320;500;40;50;5550;7050;4470;360;1330;500;2030;20;20;60;;;211.0;2.0;96.0;51.0;45.0;17.0;61.0;3.0;10.0;8.0;;;8.0;16.0;1.0;6.0;;;53670
2017/Nov;5050;17540;1280;2200;320;510;40;50;5550;7150;4490;360;1330;490;2020;20;20;60;;;211.0;2.0;98.0;51.0;45.0;17.0;61.0;3.0;10.0;8.0;;;9.0;18.0;1.0;6.0;;;53880
2017/Dez;5030;17600;1300;2210;320;500;40;50;5510;7220;4520;360;1330;490;2020;20;20;60;;;212.0;2.0;98.0;51.0;45.0;17.0;61.0;3.0;10.0;8.0;;;9.0;18.0;1.0;6.0;;;54010
2018/Jan;4910;17770;1300;2210;310;520;40;50;5520;7330;4570;350;1330;490;2050;20;20;60;;;213.0;2.0;98.0;51.0;45.0;17.0;63.0;3.0;10.0;9.0;;;9.0;18.0;1.0;6.0;;;54300
2018/Fev;5010;17780;1300;2210;310;520;40;40;5530;7350;4560;350;1330;490;2060;20;20;60;;;213.0;2.0;98.0;47.0;45.0;18.0;63.0;3.0;10.0;9.0;;;10.0;18.0;1.0;6.0;;;54410
2018/Mar;5040;17800;1310;2220;310;500;40;40;5540;7430;4580;350;1330;480;2080;20;30;60;;;213.0;2.0;97.0;47.0;45.0;18.0;64.0;3.0;10.0;8.0;;;10.0;19.0;1.0;6.0;;;54590
2018/Abr;5030;17820;1310;2200;300;500;40;30;5540;7480;4600;370;1330;490;2100;20;30;60;;;214.0;2.0;99.0;46.0;45.0;19.0;72.0;3.0;10.0;9.0;;;11.0;19.0;1.0;6.0;;;54810
2018/Mai;5030;17880;1320;2190;300;500;40;30;5550;7610;4620;380;1330;470;2110;20;30;60;;;215.0;2.0;100.0;45.0;45.0;19.0;72.0;3.0;10.0;9.0;;;11.0;20.0;1.0;6.0;;;55050
2018/Jun;5050;17890;1360;2210;300;480;40;30;5550;7670;4640;380;1330;480;2100;20;30;60;;;218.0;2.0;100.0;46.0;45.0;19.0;72.0;3.0;10.0;9.0;;;10.0;23.0;1.0;6.0;;;55260
2018/Jul;4990;17950;1360;2220;290;490;40;30;5580;7760;4660;370;1330;480;2100;20;30;60;;;219.0;2.0;100.0;46.0;45.0;19.0;72.0;3.0;10.0;10.0;;;10.0;23.0;2.0;7.0;;;55440
2018/Ago;4950;18030;1360;2230;290;490;40;30;5560;7840;4670;380;1330;510;2100;20;30;60;;;220.0;2.0;101.0;46.0;45.0;19.0;75.0;3.0;10.0;12.0;;;10.0;23.0;1.0;7.0;;;55660
2018/Set;4930;18070;1370;2240;300;490;40;30;5560;7930;4700;420;1330;500;2100;20;30;60;;;221.0;2.0;101.0;46.0;45.0;19.0;79.0;3.0;10.0;12.0;;;10.0;23.0;1.0;7.0;;;55910
2018/Out;4930;18150;1380;2180;290;490;40;20;5570;8000;4710;430;1330;500;2100;20;30;60;;;219.0;2.0;101.0;47.0;46.0;20.0;82.0;3.0;10.0;12.0;;;11.0;23.0;1.0;7.0;;;56070
2018/Nov;4930;18180;1390;2180;290;480;40;20;5570;8060;4710;430;1330;510;2100;20;30;60;;;219.0;2.0;101.0;46.0;46.0;20.0;84.0;3.0;10.0;12.0;;;12.0;24.0;2.0;7.0;;;56210
2018/Dez;4910;18210;1390;2190;290;470;40;20;5580;8080;4740;430;1330;520;2100;20;30;60;;;219.0;2.0;101.0;45.0;46.0;20.0;85.0;3.0;10.0;12.0;;;12.0;24.0;2.0;7.0;;;56290
2019/Jan;4710;18460;1390;2180;290;470;40;20;5660;8190;4810;440;1330;590;2100;20;30;60;;;220.0;2.0;100.0;45.0;46.0;20.0;85.0;3.0;10.0;13.0;;;13.0;24.0;2.0;7.0;;;56690
2019/Fev;4480;18710;1420;2200;290;440;40;20;5730;8310;4810;440;1330;620;2090;20;30;60;;;221.0;2.0;100.0;45.0;46.0;19.0;83.0;3.0;10.0;13.0;;;13.0;24.0;1.0;7.0;;;56910
2019/Mar;4480;18710;1420;2210;290;440;40;20;5750;8420;4850;430;1350;690;2100;20;30;60;;;222.0;2.0;101.0;45.0;46.0;19.0;83.0;3.0;10.0;14.0;;;13.0;24.0;1.0;7.0;;;57210
2019/Abr;4460;18720;1430;2210;300;440;40;20;5760;8510;4890;430;1370;690;2110;20;30;60;;;222.0;2.0;102.0;45.0;46.0;19.0;83.0;3.0;10.0;14.0;;;13.0;24.0;1.0;7.0;;1.0;57410
2019/Mai;4510;18690;1440;2210;320;440;40;20;5770;8510;4900;440;1370;690;2160;20;30;70;;;222.0;2.0;102.0;44.0;46.0;19.0;86.0;3.0;10.0;14.0;;;13.0;24.0;1.0;7.0;;1.0;57570
2019/Jun;4500;18700;1440;2210;320;440;40;20;5780;8850;4420;440;1370;680;2110;130;30;70;;;221.0;2.0;102.0;43.0;46.0;19.0;86.0;3.0;10.0;14.0;;;15.0;25.0;1.0;7.0;2.0;2.0;57530
2019/Jul;4500;18710;1410;2190;340;430;40;20;5460;8970;4390;440;1360;680;2120;130;30;70;;;219.0;2.0;101.0;43.0;46.0;19.0;86.0;3.0;10.0;14.0;;;15.0;26.0;1.0;7.0;2.0;2.0;57250
2019/Ago;4430;18740;1450;2190;340;430;40;20;5430;9040;4390;450;1370;680;2130;130;30;70;;;219.0;2.0;101.0;43.0;46.0;19.0;86.0;3.0;10.0;15.0;;;15.0;26.0;1.0;7.0;3.0;2.0;57340
2019/Set;4420;18730;1440;2220;340;430;40;20;5460;9210;4530;450;1350;700;2130;140;30;70;;;219.0;2.0;100.0;43.0;46.0;19.0;88.0;3.0;10.0;14.0;;;15.0;26.0;1.0;7.0;3.0;3.0;57700
2019/Out;4380;18860;1460;2240;330;420;40;20;5470;9260;4570;450;1350;700;2130;140;30;70;;;219.0;2.0;100.0;43.0;46.0;19.0;88.0;3.0;10.0;14.0;;;15.0;26.0;1.0;7.0;3.0;3.0;57910
2019/Nov;4350;18870;1470;2250;330;410;40;20;5480;9230;4580;450;1350;690;2140;160;30;70;;;219.0;2.0;101.0;43.0;46.0;20.0;88.0;3.0;10.0;14.0;;;16.0;26.0;1.0;7.0;3.0;3.0;57940
2019/Dez;4360;18880;1470;2270;330;400;40;20;5480;9200;4630;450;1300;690;2140;160;20;70;;;219.0;2.0;101.0;43.0;46.0;20.0;89.0;3.0;10.0;15.0;;;16.0;26.0;1.0;7.0;3.0;4.0;57960
2020/Jan;4360;18920;1500;2270;310;400;40;20;5490;9250;4580;450;1300;690;2140;160;30;70;;;219.0;2.0;100.0;45.0;46.0;20.0;90.0;3.0;10.0;15.0;;;16.0;26.0;1.0;6.0;4.0;4.0;58050
2020/Fev;4340;18920;1540;2270;310;400;40;20;5490;9330;4620;450;1320;690;2140;160;30;70;;;218.0;2.0;100.0;45.0;50.0;20.0;90.0;3.0;10.0;15.0;;;16.0;26.0;1.0;6.0;4.0;5.0;58250
2020/Mar;4290;19000;1570;2280;310;400;40;20;5520;9420;4650;450;1320;690;2140;160;30;70;;;218.0;2.0;100.0;45.0;50.0;20.0;90.0;3.0;10.0;16.0;;;16.0;26.0;1.0;6.0;4.0;5.0;58480
2020/Abr;4290;19000;1570;2300;310;400;40;20;5540;9420;4670;430;1320;690;2140;170;30;70;;;219.0;2.0;100.0;45.0;50.0;20.0;90.0;3.0;10.0;16.0;;;16.0;26.0;1.0;7.0;5.0;5.0;58560
2020/Mai;4770;18520;1390;2310;310;400;40;10;4800;8970;4250;420;1320;700;2140;160;30;50;;;218.0;2.0;100.0;62.0;45.0;20.0;89.0;3.0;10.0;16.0;;;17.0;26.0;2.0;7.0;16.0;5.0;56970
2020/Jun;4910;18470;1370;2380;290;400;40;20;4760;9030;4230;430;1320;700;2140;160;30;50;;;218.0;2.0;100.0;62.0;45.0;21.0;90.0;3.0;10.0;16.0;;;17.0;26.0;2.0;7.0;17.0;5.0;57140
2020/Jul;4880;18710;1560;2400;300;390;40;30;5370;9560;4660;450;1320;700;2140;190;30;70;;;218.0;2.0;100.0;45.0;50.0;21.0;95.0;3.0;10.0;16.0;;;16.0;26.0;1.0;7.0;17.0;7.0;59140
2020/Ago;4840;18750;1630;2390;300;390;40;30;5500;9620;4740;460;1320;700;2140;200;30;70;;;218.0;2.0;100.0;42.0;50.0;20.0;95.0;3.0;10.0;16.0;;;16.0;26.0;1.0;8.0;18.0;7.0;59470
2020/Set;4860;18800;1690;2370;300;390;40;30;5500;9650;4740;460;1320;700;2140;200;30;70;;;218.0;2.0;100.0;42.0;49.0;20.0;95.0;3.0;10.0;16.0;;;17.0;26.0;1.0;8.0;18.0;7.0;59610
2020/Out;4860;18820;1690;2370;300;390;40;30;5500;9790;4760;460;1320;800;2140;240;30;70;;;218.0;2.0;101.0;42.0;49.0;20.0;95.0;3.0;10.0;16.0;;;16.0;26.0;1.0;8.0;19.0;7.0;59940
2020/Nov;4860;18810;1700;2370;310;380;40;30;5550;9810;4760;460;1330;850;2140;260;30;70;;;218.0;2.0;101.0;41.0;49.0;20.0;96.0;2.0;10.0;16.0;;;16.0;26.0;1.0;9.0;19.0;7.0;60090
2020/Dez;4820;18800;1710;2380;310;380;40;30;5550;9830;4760;460;1330;850;2140;260;30;70;;;217.0;2.0;101.0;41.0;49.0;20.0;95.0;2.0;10.0;16.0;;;16.0;27.0;1.0;9.0;29.0;6.0;60160
2021/Jan;4860;18770;1720;2380;310;380;40;30;5590;9920;4820;460;1340;1030;2140;270;30;70;1.0;;217.0;2.0;103.0;41.0;45.0;20.0;95.0;2.0;10.0;16.0;;;16.0;28.0;1.0;9.0;56.0;10.0;60880
2021/Fev;4830;18920;1720;2360;320;360;40;30;5630;10030;4840;460;1360;1140;2160;280;40;70;1.0;;217.0;2.0;103.0;40.0;48.0;20.0;96.0;2.0;10.0;17.0;;;17.0;28.0;1.0;9.0;60.0;10.0;61400
2021/Mar;4820;18960;1750;2380;320;360;40;30;5640;10070;4880;450;1370;1170;2170;280;40;70;1.0;;218.0;2.0;103.0;40.0;49.0;20.0;97.0;2.0;10.0;17.0;;;17.0;30.0;1.0;9.0;60.0;11.0;61670
2021/Abr;4830;18980;1750;2380;320;370;40;30;5670;10160;4940;450;1370;1180;2170;280;40;70;1.0;;218.0;2.0;103.0;39.0;49.0;20.0;99.0;2.0;10.0;17.0;;;17.0;30.0;1.0;9.0;61.0;12.0;61930
2021/Mai;4720;19120;1770;2400;320;360;40;30;5720;10330;4970;450;1380;1230;2170;290;40;70;1.0;;218.0;2.0;103.0;39.0;51.0;20.0;100.0;2.0;10.0;17.0;;;17.0;30.0;1.0;9.0;61.0;12.0;62340
2021/Jun;4700;19120;1850;2420;320;370;40;30;5740;10410;5060;450;1400;1230;2190;290;40;70;2.0;;219.0;2.0;106.0;39.0;51.0;20.0;101.0;2.0;10.0;17.0;;;18.0;30.0;1.0;9.0;61.0;12.0;62730
2021/Jul;4650;19280;1880;2420;320;370;40;30;5780;10530;5100;450;1400;1230;2180;290;40;80;1.0;;219.0;2.0;106.0;40.0;51.0;20.0;102.0;2.0;10.0;18.0;;;18.0;30.0;1.0;9.0;62.0;12.0;63100
2021/Ago;4630;19260;1910;2420;320;370;40;30;5790;10590;5130;440;1400;1250;2180;290;40;80;1.0;;219.0;2.0;106.0;40.0;51.0;20.0;103.0;2.0;10.0;18.0;;;18.0;31.0;1.0;9.0;62.0;13.0;63230
2021/Set;4650;19290;1940;2440;320;350;40;30;5830;10680;5180;440;1440;1260;2180;290;40;80;1.0;;219.0;2.0;106.0;40.0;51.0;20.0;104.0;2.0;10.0;18.0;;;18.0;31.0;1.0;9.0;62.0;13.0;63550
2021/Out;4620;19380;1970;2450;320;340;40;30;5810;10690;5190;440;1460;1270;2180;310;40;80;2.0;;219.0;2.0;106.0;40.0;51.0;20.0;104.0;2.0;10.0;16.0;;;17.0;30.0;1.0;9.0;62.0;13.0;63660
2021/Nov;4620;19430;1990;2440;320;350;40;30;5810;10800;5190;440;1460;1290;2190;310;40;90;;;219.0;2.0;106.0;38.0;51.0;20.0;105.0;2.0;10.0;16.0;;;18.0;32.0;1.0;8.0;63.0;13.0;63880
2021/Dez;4620;19490;2020;2420;330;330;40;30;5800;10900;5240;440;1460;1300;2200;310;40;90;;;219.0;2.0;106.0;38.0;52.0;20.0;106.0;2.0;10.0;16.0;;;18.0;32.0;1.0;8.0;63.0;14.0;64130
2022/Jan;4620;19510;2040;2410;340;330;40;30;5800;11010;5270;440;1460;1310;2200;310;40;90;;;219.0;2.0;106.0;38.0;52.0;20.0;106.0;2.0;10.0;16.0;;;18.0;31.0;1.0;7.0;64.0;14.0;64310
2022/Fev;4580;19600;2050;2450;330;320;40;30;5790;11120;5290;440;1460;1330;2220;320;40;90;;;232.0;2.0;107.0;38.0;52.0;21.0;106.0;2.0;10.0;18.0;;;18.0;16.0;1.0;6.0;64.0;14.0;64570
2022/Mar;4580;19670;2080;2450;330;330;40;30;5800;11210;5290;440;1470;1340;2230;320;40;90;;;232.0;2.0;107.0;38.0;54.0;21.0;106.0;2.0;10.0;18.0;;;18.0;17.0;1.0;6.0;64.0;14.0;64840
2022/Abr;4540;19660;2110;2460;320;330;40;30;5840;11380;5400;450;1470;1360;2230;340;40;90;;;231.0;2.0;106.0;39.0;54.0;22.0;107.0;2.0;10.0;18.0;;;18.0;17.0;2.0;6.0;65.0;14.0;65220
2022/Mai;4680;19690;2130;2450;320;320;40;30;5840;11570;5510;460;1470;1440;2230;370;40;90;;;231.0;2.0;107.0;40.0;42.0;22.0;107.0;2.0;10.0;19.0;;;19.0;16.0;2.0;6.0;65.0;14.0;65720
2022/Jun;4680;19780;2120;2450;320;320;40;30;5840;11690;5660;470;1470;1530;2230;370;40;90;;;231.0;2.0;107.0;39.0;42.0;22.0;106.0;2.0;10.0;19.0;;;19.0;16.0;2.0;6.0;66.0;14.0;66160
2022/Jul;4510;19890;2110;2470;330;320;40;30;5710;11840;5550;470;1470;1530;2210;390;40;90;;;221.0;2.0;107.0;39.0;42.0;22.0;103.0;2.0;10.0;19.0;;;20.0;16.0;2.0;10.0;66.0;14.0;65950
2022/Ago;4420;19990;2140;2470;330;320;40;30;5750;11940;5600;470;1470;1540;2200;380;50;90;;;221.0;2.0;107.0;39.0;42.0;22.0;103.0;2.0;10.0;19.0;;;20.0;15.0;2.0;10.0;66.0;14.0;66170
2022/Set;4340;20150;2150;2460;330;320;40;30;5770;12100;5670;470;1470;1540;2200;400;50;90;;;221.0;2.0;107.0;37.0;41.0;22.0;103.0;2.0;10.0;19.0;;;22.0;13.0;2.0;10.0;66.0;14.0;66490
2022/Out;4290;20210;2170;2480;330;320;40;30;5800;12160;5690;480;1470;1550;2200;400;50;90;;;221.0;3.0;106.0;37.0;41.0;22.0;103.0;2.0;10.0;19.0;;;22.0;13.0;2.0;10.0;66.0;14.0;66670
2022/Nov;4290;20220;2180;2490;330;320;40;30;5800;12280;5760;490;1460;1550;2200;400;50;90;;;221.0;3.0;106.0;37.0;41.0;22.0;102.0;2.0;10.0;20.0;;;22.0;13.0;2.0;10.0;66.0;14.0;66890
2022/Dez;4040;20490;2190;2480;340;320;40;30;5810;12460;5880;490;1460;1560;2200;400;50;90;;;221.0;3.0;106.0;36.0;41.0;22.0;102.0;2.0;10.0;21.0;;;22.0;13.0;2.0;10.0;65.0;14.0;67230
2023/Jan;3940;20620;2200;2470;340;320;40;30;5790;12500;5860;490;1460;1560;2200;410;50;90;;;220.0;5.0;106.0;32.0;40.0;22.0;105.0;2.0;10.0;21.0;;;22.0;13.0;2.0;10.0;67.0;15.0;67290
2023/Fev;3940;20590;2220;2470;340;310;40;30;5800;12510;5880;490;1460;1560;2220;410;50;90;;;219.0;5.0;108.0;32.0;40.0;22.0;104.0;2.0;10.0;21.0;;;22.0;13.0;2.0;10.0;67.0;15.0;67330
2023/Mar;3940;20560;2220;2460;340;310;40;30;5820;12780;5930;490;1460;1570;2230;420;50;90;;;220.0;5.0;109.0;32.0;40.0;22.0;104.0;2.0;10.0;21.0;1.0;;22.0;13.0;2.0;10.0;68.0;15.0;67700
2023/Abr;3990;20600;2230;2480;340;300;40;30;5820;12870;5950;490;1460;1620;2230;420;50;90;;;221.0;5.0;109.0;32.0;41.0;23.0;104.0;2.0;10.0;21.0;1.0;;22.0;13.0;2.0;10.0;67.0;15.0;67990
2023/Mai;3950;20660;2260;2490;340;300;40;30;5880;13010;5940;490;1460;1620;2240;420;40;90;;;221.0;5.0;110.0;32.0;41.0;23.0;104.0;2.0;10.0;22.0;1.0;;22.0;13.0;2.0;10.0;68.0;18.0;68300
2023/Jun;3890;20840;2260;2490;330;290;40;30;5870;13090;5950;490;1460;1640;2240;420;40;90;;;222.0;5.0;110.0;38.0;41.0;23.0;104.0;2.0;10.0;22.0;1.0;;23.0;13.0;2.0;10.0;68.0;18.0;68580
2023/Jul;3870;20890;2250;2500;340;290;40;30;5920;13100;5970;500;1460;1660;2240;420;40;90;;;222.0;5.0;110.0;39.0;41.0;23.0;103.0;2.0;10.0;23.0;1.0;;25.0;13.0;2.0;10.0;70.0;18.0;68780
2023/Ago;3870;20920;2280;2510;340;290;40;30;5950;13250;5990;480;1450;1910;2260;420;40;80;;;221.0;6.0;110.0;38.0;41.0;23.0;103.0;2.0;10.0;23.0;1.0;;25.0;13.0;2.0;10.0;70.0;18.0;69270
2023/Set;3920;20850;2340;2500;340;290;40;30;5910;13450;6040;480;1430;1910;2260;420;40;80;;;221.0;6.0;111.0;35.0;41.0;23.0;103.0;2.0;10.0;25.0;1.0;;26.0;14.0;2.0;10.0;73.0;20.0;69560
2023/Out;3910;20910;2360;2500;330;290;40;30;5870;13510;6040;480;1430;2090;2260;420;40;80;;;221.0;7.0;111.0;36.0;42.0;23.0;102.0;2.0;10.0;26.0;1.0;;26.0;14.0;2.0;10.0;73.0;20.0;69850
2023/Nov;3910;20930;2360;2500;330;290;40;30;5910;13630;6030;480;1430;2310;2260;470;40;80;;;221.0;7.0;111.0;36.0;42.0;23.0;102.0;2.0;10.0;26.0;1.0;;26.0;14.0;2.0;10.0;73.0;20.0;70290
2023/Dez;3860;20960;2350;2500;330;300;40;30;5910;13670;6050;480;1430;2420;2260;470;40;80;;;221.0;7.0;112.0;36.0;41.0;23.0;102.0;2.0;10.0;26.0;1.0;;26.0;14.0;2.0;10.0;73.0;20.0;70440
2024/Jan;3830;20960;2390;2500;330;300;40;30;5880;13880;5910;490;1420;2440;2260;540;40;80;;;221.0;23.0;111.0;35.0;43.0;23.0;102.0;2.0;10.0;26.0;1.0;;26.0;14.0;2.0;10.0;76.0;20.0;70770
2024/Fev;3860;20950;2400;2500;330;300;50;30;5950;13910;5920;500;1420;2440;2260;550;40;80;;;221.0;24.0;112.0;35.0;43.0;23.0;102.0;2.0;10.0;26.0;1.0;;26.0;14.0;2.0;10.0;76.0;20.0;70960
2024/Mar;3860;21050;2390;2500;330;300;50;30;5970;14060;5940;510;1420;2450;2260;590;40;80;;;221.0;24.0;113.0;33.0;43.0;23.0;103.0;2.0;10.0;27.0;1.0;;25.0;14.0;1.0;10.0;74.0;20.0;71270
2024/Abr;3830;21140;2420;2520;310;300;50;30;6010;14170;5950;540;1410;2470;2250;610;40;80;;;221.0;24.0;112.0;34.0;43.0;23.0;104.0;2.0;10.0;28.0;1.0;;25.0;14.0;1.0;10.0;73.0;20.0;71580
2024/Mai;3820;21250;2420;2520;300;310;50;30;6140;14270;5990;550;1410;2470;2240;660;40;80;;;221.0;24.0;111.0;34.0;44.0;23.0;104.0;2.0;11.0;28.0;1.0;;25.0;14.0;1.0;10.0;73.0;20.0;72010
2024/Jun;3690;21510;2430;2530;300;310;50;30;6160;14390;6020;560;1410;2470;2250;680;40;80;;;221.0;24.0;111.0;33.0;41.0;22.0;107.0;4.0;11.0;27.0;1.0;;25.0;14.0;1.0;10.0;73.0;20.0;72360
2024/Jul;3570;21660;2500;2530;300;300;50;30;6240;14470;5990;560;1410;2490;2240;710;40;80;;;220.0;24.0;111.0;33.0;41.0;22.0;110.0;5.0;11.0;27.0;1.0;;25.0;15.0;1.0;11.0;73.0;21.0;72680
2024/Ago;3570;21680;2490;2530;300;300;50;30;6270;14710;6000;560;1420;2500;2240;730;40;80;;;220.0;24.0;114.0;28.0;41.0;23.0;110.0;5.0;11.0;27.0;1.0;;25.0;15.0;1.0;11.0;73.0;22.0;73010
2024/Set;3510;21670;2510;2550;300;300;40;30;6240;14910;6020;560;1440;2500;2240;740;40;80;;;220.0;23.0;115.0;28.0;47.0;23.0;111.0;5.0;11.0;27.0;1.0;;25.0;15.0;1.0;11.0;73.0;22.0;73260
2024/Out;3540;21680;2580;2550;300;300;40;30;6270;15040;6030;560;1450;2520;2240;770;40;80;;;220.0;23.0;115.0;28.0;48.0;23.0;111.0;5.0;11.0;27.0;1.0;1.0;25.0;15.0;1.0;12.0;73.0;22.0;73630
2024/Nov;3530;21700;2590;2540;300;300;40;30;6330;15120;5990;560;1460;2520;2240;820;40;80;;;220.0;29.0;116.0;28.0;49.0;24.0;111.0;5.0;11.0;27.0;1.0;1.0;25.0;15.0;1.0;12.0;74.0;21.0;73890
2024/Dez;3530;21710;2610;2540;300;300;40;30;6300;15250;6000;560;1460;2520;2240;820;40;80;;;220.0;29.0;116.0;28.0;51.0;25.0;111.0;5.0;11.0;27.0;1.0;1.0;26.0;16.0;1.0;13.0;74.0;21.0;74090
2025/Jan;3550;21720;2620;2570;300;270;40;30;6280;15350;6030;560;1470;2510;2240;810;40;80;;;220.0;29.0;116.0;27.0;51.0;25.0;110.0;5.0;11.0;27.0;1.0;1.0;26.0;17.0;1.0;13.0;76.0;21.0;74240
2025/Fev;3590;21830;2620;2570;300;280;30;40;6270;15470;6080;570;1480;2560;2260;820;40;80;;;220.0;30.0;117.0;27.0;51.0;25.0;107.0;5.0;11.0;27.0;1.0;1.0;27.0;17.0;1.0;13.0;77.0;21.0;74670
